"","DBN","School.Name","Number.of.Test.Takers","Critical.Reading.Mean","Mathematics.Mean","Writing.Mean","Name","schoolyear","fl_percent","frl_percent","total_enrollment","prek","k","grade1","grade2","grade3","grade4","grade5","grade6","grade7","grade8","grade9","grade10","grade11","grade12","ell_num","ell_percent","sped_num","sped_percent","ctt_num","selfcontained_num","asian_num","asian_per","black_num","black_per","hispanic_num","hispanic_per","white_num","white_per","male_num","male_per","female_num","female_per"
"251","17K408","ACADEMY OF HOSPITALITY AND TOURISM ",31,400,405,399,"ACADEMY OF HOSPITALITY AND TOURISM",20102011,"   ",63.1,310,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106,92,62,50,31,10,41,13.2,27,1,3,1,256,82.6,46,14.8,5,1.6,160,51.6,150,48.4
"252","17K440","Prospect Heights High School ",12,388,373,374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"253","17K489","W E B DUBOIS HIGH SCHOOL ",17,381,344,360,"W.E.B. DUBOIS ACADEMIC HIGH SCHOOL",20102011,"   ",78.2,287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,152,45,49,2,0.7,26,9.1,1,1,4,1.4,259,90.2,20,7,1,0.3,124,43.2,163,56.8
"254","17K524","International High School @Prospect Hgt ",32,302,339,325,"INTERNATIONAL HIGH SCHOOL AT PROSPECT HEIGHTS",20102011,"   ",88.2,433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106,102,99,126,392,90.5,10,2.3,NA,NA,123,28.4,118,27.3,139,32.1,52,12,245,56.6,188,43.4
"255","17K528","HIGH SCHOOL FOR GLOBAL CITIZENSHIP ",81,382,387,381,"THE HIGH SCHOOL FOR GLOBAL CITIZENSHIP",20102011,"   ",81.5,385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,94,96,114,22,5.7,51,13.2,21,22,3,0.8,335,87,41,10.6,4,1,186,48.3,199,51.7
"256","17K531","SCHOOL FOR HUMAN RIGHTS ",21,357,391,343,"THE SCHOOL FOR HUMAN RIGHTS",20102011,"   ",77.6,382,NA,NA,NA,NA,NA,NA,NA,39,54,35,70,62,61,61,21,5.5,46,12,25,6,2,0.5,344,90.1,26,6.8,10,2.6,196,51.3,186,48.7
"257","17K533","SCHOOL FOR DEMOCRACY AND LEADERSHIP ",25,358,378,372,"SCHOOL FOR DEMOCRACY AND LEADERSHIP",20102011,"   ",81.3,429,NA,NA,NA,NA,NA,NA,NA,28,34,51,77,71,90,78,16,3.7,62,14.5,34,15,1,0.2,388,90.4,31,7.2,5,1.2,211,49.2,218,50.8
"258","17K537","HS FOR YOUTH CMMTY DEVLPMT AT ERASMUS ",71,361,376,365,"HIGH SCHOOL FOR YOUTH AND COMMUNITY DEVELOPMENT",20102011,"   ",81.6,398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,119,113,76,90,30,7.5,53,13.3,49,NA,3,0.8,344,86.4,39,9.8,4,1,246,61.8,152,38.2
"259","17K539","HS FOR SERVICE AND LEARNING AT ERASMUS ",54,371,366,381,"HIGH SCHOOL FOR SERVICE & LEARNING AT ERASMUS",20102011,"   ",76,405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106,103,107,89,32,7.9,67,16.5,57,2,0,0,26,6.4,378,93.3,0,0,242,59.8,163,40.2
"260","17K543","SCIENCE TECH RESEARCH HS AT ERASMUS ",68,445,425,415,"SCI TECHNOLOGY AND RESEARCH EARLY COLLEGE HIGH",20102011,"   ",81.2,509,NA,NA,NA,NA,NA,NA,NA,75,60,71,85,77,73,68,NA,NA,12,2.4,5,NA,16,3.1,426,83.7,49,9.6,4,0.8,262,51.5,247,48.5
"261","17K544","INTERNATIONAL ARTS BUSINESS HS ",49,392,390,381,"INTERNATIONAL ARTS BUSINESS SCHOOL",20102011,"   ",60.5,459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158,143,78,80,27,5.9,80,17.4,27,32,5,1.1,394,85.8,51,11.1,4,0.9,195,42.5,264,57.5
"262","17K546","HIGH SCHOOL FOR PUBLIC SERVICE ",83,412,427,420,"HIGH SCHOOL FOR PUBLIC SERVICE: HEROES OF TOMORR",20102011,"   ",72.4,407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112,105,86,104,1,0.2,15,3.7,NA,NA,6,1.5,352,86.5,42,10.3,1,0.2,97,23.8,310,76.2
"263","17K547","Brooklyn High School for Science and the Environ ",45,391,396,388,"BROOKLYN ACADEMY OF SCIENCE AND THE ENVIRONMENT",20102011,"   ",81.3,444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,127,135,78,104,26,5.9,44,9.9,38,3,11,2.5,370,83.3,53,11.9,7,1.6,234,52.7,210,47.3
