"","DBN","School.Name","Number.of.Test.Takers","Critical.Reading.Mean","Mathematics.Mean","Writing.Mean","Name","schoolyear","fl_percent","frl_percent","total_enrollment","prek","k","grade1","grade2","grade3","grade4","grade5","grade6","grade7","grade8","grade9","grade10","grade11","grade12","ell_num","ell_percent","sped_num","sped_percent","ctt_num","selfcontained_num","asian_num","asian_per","black_num","black_per","hispanic_num","hispanic_per","white_num","white_per","male_num","male_per","female_num","female_per"
"264","17K548","BROOKLYN HS MUSIC AND THEATER ",37,385,351,381,"BROOKLYN SCHOOL FOR MUSIC & THEATRE",20102011,"   ",77,396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,111,125,70,90,2,0.5,42,10.6,41,NA,3,0.8,335,84.6,53,13.4,3,0.8,120,30.3,276,69.7
"265","17K568","BROWNSVILLE ACADEMY HIGH SCHOOL ",20,356,358,366,"BROWNSVILLE ACADEMY HIGH SCHOOL",20102011,"   ",75.3,185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,57,45,6,3.2,14,7.6,5,NA,2,1.1,151,81.6,23,12.4,5,2.7,79,42.7,106,57.3
"266","17K590","Medgar Evers College Preparatory High School ",113,459,482,452,"MIDDLE COLLEGE HIGH SCHOOL AT MEDGAR EVERS COLLE",20102011,"   ",82.8,1032,NA,NA,NA,NA,NA,NA,NA,76,79,76,250,209,181,161,NA,0,2,0.2,NA,NA,5,0.5,996,96.5,29,2.8,2,0.2,448,43.4,584,56.6
"267","17K600","Clara Barton High School ",282,419,413,411,"CLARA BARTON HIGH SCHOOL",20102011,"   ",79.9,1746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,513,598,277,358,120,6.9,187,10.7,39,120,26,1.5,1581,90.5,120,6.9,10,0.6,401,23,1345,77
"268","17K625","Paul Robeson High School ",121,355,358,348,"PAUL ROBESON HIGH SCHOOL",20102011,"   ",91.1,626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135,152,131,208,25,4,103,16.5,39,39,5,0.8,545,87.1,57,9.1,9,1.4,362,57.8,264,42.2
"269","18K415","SAMUEL J TILDEN HIGH SCHOOL ",42,328,341,338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"270","18K500","CANARSIE HIGH SCHOOL ",128,372,373,364,"CANARSIE HIGH SCHOOL",20102011,"   ",39.7,343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,26,36,271,31,9,126,36.7,35,67,6,1.7,286,83.4,38,11.1,10,2.9,219,63.8,124,36.2
"271","18K515","SOUTH SHORE HIGH SCHOOL ",29,365,352,336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"272","25Q540","QUEENS ACADEMY ",22,400,395,391,"QUEENS ACADEMY HIGH SCHOOL",20102011,"   ",77.1,413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,126,119,168,44,10.7,36,8.7,1,NA,56,13.6,162,39.2,177,42.9,15,3.6,218,52.8,195,47.2
"273","18K578","BROOKLYN BRIDGE ACADEMY OF S SHORE ED CO ",20,389,358,369,"BROOKLYN BRIDGE ACADEMY",20102011,"   ",73.2,230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,68,48,37,5,2.2,21,9.1,21,NA,4,1.7,195,84.8,21,9.1,7,3,123,53.5,107,46.5
"274","18K635","OLYMPUS ACADEMY ",24,361,365,365,"OLYMPUS ACADEMY",20102011,"   ",76,177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,78,33,9,2,1.1,10,5.6,1,NA,0,0,152,85.9,21,11.9,3,1.7,99,55.9,78,44.1
"275","19K409","EAST NEW YORK FAMILY ACADEMY ",61,435,428,414,"EAST NEW YORK FAMILY ACADEMY",20102011,"   ",83.5,438,NA,NA,NA,NA,NA,NA,NA,48,50,50,96,74,56,64,3,0.7,23,5.3,9,NA,4,0.9,279,63.7,145,33.1,7,1.6,194,44.3,244,55.7
"276","19K420","FRANKLIN K LANE HIGH SCHOOL ",140,353,379,341,"FRANKLIN K LANE HIGH SCHOOL",20102011,"   ",54.7,492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,88,34,327,162,32.9,47,9.6,9,25,35,7.1,99,20.1,345,70.1,12,2.4,272,55.3,220,44.7
"277","19K502","FDNY HIGH SCH DOR FIRE & LIFE ",29,376,375,363,"FDNY HIGH SCHOOL FOR FIRE AND LIFE SAFETY",20102011,"   ",81.7,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,117,49,67,21,5.3,68,17,58,NA,4,1,306,76.5,83,20.8,4,1,320,80,80,20
"278","19K504","HIGH SCHOOL FOR CIVIL RIGHTS ",23,369,372,380,"HIGH SCHOOL FOR CIVIL RIGHTS",20102011,"   ",72.8,426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135,113,103,75,39,9.2,67,15.7,44,6,7,1.6,318,74.6,97,22.8,2,0.5,243,57,183,43
"279","19K507","PERFORMING ARTS & TECH HIGH SCHOOL ",49,371,363,356,"PERFORMING ARTS AND TECHNOLOGY HIGH SCHOOL",20102011,"   ",77.7,420,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,156,95,107,61,21,5,81,19.3,36,22,2,0.5,336,80,72,17.1,6,1.4,212,50.5,208,49.5
"280","19K510","World Acad for Total Community Health ",28,370,371,376,"WORLD ACADEMY FOR TOTAL COMMUNITY HEALTH HIGH SC",20102011,"   ",83.9,412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114,122,101,75,16,3.9,68,16.5,55,3,5,1.2,340,82.5,63,15.3,1,0.2,147,35.7,265,64.3
"281","19K615","East New York High School of Transit Technology ",184,413,419,403,"TRANSIT TECH CAREER AND TECHNICAL EDUCATION HIGH",20102011,"   ",75.9,1458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,460,422,232,344,36,2.5,195,13.4,60,76,59,4,1040,71.3,330,22.6,21,1.4,1205,82.6,253,17.4
"282","19K659","CYPRESS HILLS COLLEGIATE PREPARATORY SCH ",50,398,402,378,"CYPRESS HILLS COLLEGIATE PREPARATORY SCHOOL",20102011,"   ",74,433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108,100,109,116,58,13.4,50,11.5,22,9,33,7.6,78,18,304,70.2,11,2.5,205,47.3,228,52.7
"283","19K660","William H Maxwell Voc High School ",49,355,367,355,"W. H. MAXWELL CAREER AND TECHNICAL EDUCATION HIG",20102011,"   ",79.6,759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,171,264,169,155,33,4.3,164,21.6,32,102,6,0.8,544,71.7,190,25,7,0.9,242,31.9,517,68.1
"284","20K445","NEW UTRECHT HIGH SCHOOL ",317,409,471,407,"NEW UTRECHT HIGH SCHOOL",20102011,"   ",53.6,3218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1105,860,687,566,787,24.5,459,14.3,162,175,1105,34.3,194,6,926,28.8,990,30.8,1922,59.7,1296,40.3
"285","20K485","High School of Telecommunication Arts ",221,450,471,440,"HIGH SCHOOL OF TELECOMMUNICATION ARTS AND TECHNO",20102011,"   ",79.7,1297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,418,382,254,243,73,5.6,234,18,102,46,239,18.4,133,10.3,712,54.9,206,15.9,697,53.7,600,46.3
"286","20K490","FORT HAMILTON HIGH SCHOOL ",581,416,486,409,"FORT HAMILTON HIGH SCHOOL",20102011,"   ",48.5,4353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1311,1572,732,738,944,21.7,518,11.9,152,263,1288,29.6,219,5,1320,30.3,1499,34.4,2381,54.7,1972,45.3
"287","20K505","Franklin D Roosevelt High School ",385,387,492,377,"FRANKLIN DELANO ROOSEVELT HIGH SCHOOL",20102011,"   ",74.2,3412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,981,1229,567,635,1418,41.6,383,11.2,79,221,1417,41.5,295,8.6,1070,31.4,609,17.8,1988,58.3,1424,41.7
"288","20K658","YABC at Franklin D. Roosevelt High School ",33,363,443,369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"289","21K337","International High School at LaFayette ",35,355,395,355,"INTERNATIONAL HIGH SCHOOL AT LAFAYETTE",20102011,"   ",85,333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73,104,89,67,293,88,4,1.2,NA,NA,102,30.6,69,20.7,91,27.3,71,21.3,176,52.9,157,47.1
"290","21K344","Rachel Carson High School for Coastal Studies ",66,422,459,418,"RACHEL CARSON HIGH SCHOOL FOR COASTAL STUDIES",20102011,"   ",79.6,468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,125,159,103,81,60,12.8,57,12.2,31,6,57,12.2,104,22.2,126,26.9,181,38.7,243,51.9,225,48.1
"291","21K348","HIGH SCHOOL OF SPORTS MANAGEMENT ",33,370,427,381,"HIGH SCHOOL OF SPORTS MANAGEMENT",20102011,"   ",79,341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99,107,84,51,10,2.9,63,18.5,51,2,10,2.9,221,64.8,85,24.9,25,7.3,306,89.7,35,10.3
"292","21K400","LAFAYETTE HIGH SCHOOL ",40,327,367,315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"293","21K410","ABRAHAM LINCOLN HIGH SCHOOL ",379,386,429,385,"ABRAHAM LINCOLN HIGH SCHOOL",20102011,"   ",55.9,2617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,749,788,585,495,511,19.5,289,11,90,119,471,18,894,34.2,540,20.6,695,26.6,1465,56,1152,44
"294","21K525","EDWARD R MURROW HIGH SCHOOL ",686,472,503,468,"EDWARD R. MURROW HIGH SCHOOL",20102011,"   ",19.6,4019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1231,1243,731,814,367,9.1,553,13.8,175,261,1028,25.6,1002,24.9,683,17,1295,32.2,1679,41.8,2340,58.2
"295","21K540","JOHN DEWEY HIGH SCHOOL ",349,414,465,396,"JOHN DEWEY HIGH SCHOOL",20102011,"   ",55.9,2613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,835,801,523,454,503,19.2,228,8.7,72,90,958,36.7,816,31.2,519,19.9,310,11.9,1280,49,1333,51
"296","21K620","William E. Grady Vocational Technical High School ",56,385,393,361,"WILLIAM E. GRADY CAREER AND TECHNICAL EDUCATION",20102011,"   ",88.2,1171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,468,293,250,160,39,3.3,251,21.4,73,120,38,3.2,873,74.6,184,15.7,72,6.1,944,80.6,227,19.4
"297","21K690","BROOKLYN STUDIO SECONDARY SCH ",86,426,419,418,"BROOKLYN STUDIO SECONDARY SCHOOL",20102011,"   ",65.2,895,NA,NA,NA,NA,NA,NA,NA,71,82,83,206,185,128,140,58,6.5,165,18.4,116,NA,94,10.5,76,8.5,201,22.5,524,58.5,440,49.2,455,50.8
"298","21K728","Liberation Diploma Plus High School ",13,402,351,380,"LIBERATION DIPLOMA PLUS",20102011,"   ",88.3,187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,83,35,34,3,1.6,15,8,NA,NA,5,2.7,85,45.5,72,38.5,24,12.8,88,47.1,99,52.9
"299","22K405","Midwood High School at Brooklyn College ",725,493,543,491,"MIDWOOD HIGH SCHOOL",20102011,"   ",31.7,3986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1052,1152,932,850,141,3.5,220,5.5,89,77,1232,30.9,1453,36.5,472,11.8,821,20.6,1822,45.7,2164,54.3
"300","22K425","JAMES MADISON HIGH SCHOOL ",641,449,478,445,"JAMES MADISON HIGH SCHOOL",20102011,"   ",52,3145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,969,953,567,656,405,12.9,388,12.3,134,159,610,19.4,594,18.9,473,15,1459,46.4,1700,54.1,1445,45.9
"301","22K495","SHEEPSHEAD BAY HIGH SCHOOL ",192,380,416,380,"SHEEPSHEAD BAY HIGH SCHOOL",20102011,"   ",54.8,2147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,700,612,390,445,396,18.4,283,13.2,88,137,220,10.2,1412,65.8,340,15.8,172,8,1119,52.1,1028,47.9
"302","22K535","LEON M GOLDSTEIN HIGH SCHOOL ",239,543,578,559,"LEON M. GOLDSTEIN HIGH SCHOOL FOR THE SCIENCES",20102011,"   ",36.9,1028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,240,258,274,256,2,0.2,67,6.5,29,NA,125,12.2,101,9.8,101,9.8,698,67.9,416,40.5,612,59.5
"303","22K555","Brooklyn College Academy High School ",109,459,460,446,"BROOKLYN COLLEGE ACADEMY",20102011,"   ",72.5,620,NA,NA,NA,NA,NA,NA,NA,NA,29,30,142,135,135,149,4,0.6,13,2.1,NA,NA,30,4.8,484,78.1,88,14.2,12,1.9,211,34,409,66
"304","23K493","BROOKLYN COLLEGIATE ",37,394,372,375,"BROOKLYN COLLEGIATE: A COLLEGE BOARD SCHOOL",20102011,"   ",88.1,598,NA,NA,NA,NA,NA,NA,NA,60,86,86,128,75,76,87,7,1.2,67,11.2,7,33,13,2.2,521,87.1,57,9.5,2,0.3,293,49,305,51
"305","23K514","Frederick Douglass Academy VII High School ",50,416,396,414,"FREDERICK DOUGLASS ACADEMY VII HIGH SCHOOL",20102011,"   ",81,390,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,122,119,62,87,3,0.8,71,18.2,34,15,1,0.3,355,91,31,7.9,2,0.5,187,47.9,203,52.1
"306","23K643","Brooklyn Democracy Academy ",18,347,371,323,"BROOKLYN DEMOCRACY ACADEMY",20102011,"   ",46.9,203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,53,34,81,10,4.9,29,14.3,17,1,0,0,176,86.7,21,10.3,3,1.5,96,47.3,107,52.7
"307","23K645","EBC High School for Public Service - East New York ",24,376,358,368,"EBC/ENY HIGH SCHOOL FOR PUBLIC SAFETY & LAW",20102011,"   ",64.1,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,11,66,7,7.8,18,20,NA,6,3,3.3,48,53.3,35,38.9,2,2.2,46,51.1,44,48.9
"308","23K646","ASPIRATIONS DIPLOMA PLUS HIGH SCHOOL ",35,349,329,341,"ASPIRATIONS DIPLOMA PLUS HIGH SCHOOL",20102011,"   ",87.5,270,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,103,63,46,5,1.9,22,8.1,15,NA,4,1.5,209,77.4,53,19.6,2,0.7,122,45.2,148,54.8
"309","23K647","METROPOLITAN DIPLOMA PLUS HIGH SCHOOL ",12,385,378,391,"METROPOLITAN DIPLOMA PLUS HIGH SCHOOL",20102011,"   ",72.8,220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,58,77,29,8,3.6,28,12.7,14,4,1,0.5,178,80.9,40,18.2,0,0,91,41.4,129,58.6
"310","23K697","TEACHERS PREPARATORY SCHOOL ",59,396,389,389,"TEACHERS PREPARATORY HIGH SCHOOL",20102011,"   ",81.6,570,NA,NA,NA,NA,NA,NA,NA,46,60,50,131,113,95,75,4,0.7,70,12.3,2,31,7,1.2,483,84.7,77,13.5,1,0.2,190,33.3,380,66.7
"311","24Q264","ACADEMY OF FINANCE AND ENTERPRISE ",65,407,432,417,"ACADEMY OF FINANCE AND ENTERPRISE",20102011,"   ",74.4,425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,111,112,99,103,34,8,39,9.2,26,1,65,15.3,45,10.6,251,59.1,62,14.6,196,46.1,229,53.9
"312","24Q267","High School of Applied Communication ",67,411,420,407,"HIGH SCHOOL OF APPLIED COMMUNICATION",20102011,"   ",78.2,358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108,106,53,91,42,11.7,58,16.2,28,1,42,11.7,32,8.9,216,60.3,68,19,150,41.9,208,58.1
"313","24Q299","BARD HIGH SCHOOL EARLY COLLEGE II ",42,545,548,541,"BARD HIGH SCHOOL EARLY COLLEGE II",20102011,"   ",50,528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135,156,180,57,4,0.8,NA,0,NA,NA,153,29,96,18.2,126,23.9,148,28,198,37.5,330,62.5
"314","24Q455","NEWTOWN HIGH SCHOOL ",251,379,427,372,"NEWTOWN HIGH SCHOOL",20102011,"   ",53.7,2908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,833,811,578,686,878,30.2,267,9.2,56,122,694,23.9,265,9.1,1786,61.4,153,5.3,1688,58,1220,42
"315","24Q485","GROVER CLEVELAND HIGH SCHOOL ",269,398,431,391,"GROVER CLEVELAND HIGH SCHOOL",20102011,"   ",47.1,2416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,590,770,497,559,520,21.5,291,12,31,129,179,7.4,115,4.8,1537,63.6,577,23.9,1305,54,1111,46
"316","24Q520","MIDDLE COLLEGE HIGH SCHOOL ",32,386,402,373,"MIDDLE COLLEGE HIGH SCHOOL AT LAGUARDIA COMMUNIT",20102011,"   ",74.9,473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107,107,113,146,4,0.8,54,11.4,33,NA,43,9.1,56,11.8,320,67.7,54,11.4,235,49.7,238,50.3
"317","24Q530","INTERNATL HS@LA GUARDIA COMM C ",75,355,428,359,"INTERNATIONAL HIGH SCHOOL AT LAGUARDIA COMMUNITY",20102011,"   ",89.8,475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107,104,95,169,365,76.8,NA,0,NA,NA,183,38.5,12,2.5,230,48.4,50,10.5,231,48.6,244,51.4
"318","24Q550","HIGH SCHOOL FOR ARTS/BUSINESS ",127,363,372,363,"HIGH SCHOOL FOR ARTS AND BUSINESS",20102011,"   ",81.3,784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,309,198,131,146,90,11.5,95,12.1,51,1,73,9.3,65,8.3,620,79.1,23,2.9,338,43.1,446,56.9
"319","24Q560","ROBERT F WAGNER JR SECONDARY ",49,420,440,421,"ROBERT F. WAGNER JR.",20102011,"   ",69.8,564,NA,NA,NA,NA,NA,NA,NA,NA,48,48,127,114,119,108,22,3.9,73,12.9,46,1,115,20.4,36,6.4,353,62.6,57,10.1,249,44.1,315,55.9
"320","24Q600","Queens Vocational & Tech High School ",130,415,428,401,"QUEENS VOCATIONAL AND TECHNICAL HIGH SCHOOL",20102011,"   ",84,1316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,391,428,314,183,68,5.2,183,13.9,69,60,134,10.2,92,7,965,73.3,125,9.5,804,61.1,512,38.9
"321","24Q610","Aviation Career & Technical Education High School ",289,444,494,427,"AVIATION CAREER & TECHNICAL EDUCATION HIGH SCHOO",20102011,"   ",77.4,2119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,534,598,425,562,64,3,103,4.9,27,38,537,25.3,130,6.1,1229,58,196,9.2,1816,85.7,303,14.3
"322","24Q744","VOYAGES PREPARATORY HIGH SCHOOL ",7,416,413,364,"VOYAGES PREPARATORY",20102011,"   ",76.5,232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,61,31,62,18,7.8,15,6.5,13,NA,12,5.2,58,25,148,63.8,14,6,116,50,116,50
"323","25Q263","FLUSHING INTERNATIONAL HIGH SCHOOL ",57,325,415,311,"FLUSHING INTERNATIONAL HIGH SCHOOL",20102011,"   ",92.3,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101,117,89,93,354,88.5,6,1.5,4,NA,220,55,4,1,168,42,8,2,221,55.3,179,44.8
"324","25Q281","EAST WEST SCHOOL OF INTERNATIONAL STUDIE ",50,438,485,442,"EASTWEST SCHOOL OF INTERNATIONAL STUDIES",20102011,"   ",68.9,582,NA,NA,NA,NA,NA,NA,NA,83,79,82,91,91,70,86,86,14.8,49,8.4,22,NA,339,58.2,101,17.4,117,20.1,23,4,317,54.5,265,45.5
"325","25Q285","WORLD JOURNALISM PREPARATORY SCHOOL ",56,429,425,421,"WORLD JOURNALISM PREPARATORY: A COLLEGE BOARD SC",20102011,"   ",44.3,568,NA,NA,NA,NA,NA,NA,NA,81,79,74,106,96,62,70,4,0.7,117,20.6,58,1,109,19.2,47,8.3,122,21.5,287,50.5,246,43.3,322,56.7
"326","25Q425","JOHN BOWNE HIGH SCHOOL ",302,391,423,389,"JOHN BOWNE HIGH SCHOOL",20102011,"   ",69.4,3471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1261,953,736,521,879,25.3,375,10.8,66,179,1150,33.1,708,20.4,1420,40.9,179,5.2,1734,50,1737,50
"327","25Q460","FLUSHING HIGH SCHOOL ",278,372,398,366,"FLUSHING HIGH SCHOOL",20102011,"   ",75.7,3041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1269,803,587,382,655,21.5,365,12,113,126,584,19.2,750,24.7,1588,52.2,111,3.7,1718,56.5,1323,43.5
"328","25Q525","Townsend Harris High School at Queens College ",273,637,644,642,"TOWNSEND HARRIS HIGH SCHOOL",20102011,"   ",39.7,1098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,281,276,269,272,NA,NA,3,0.3,NA,NA,587,53.5,62,5.6,139,12.7,288,26.2,343,31.2,755,68.8
"329","25Q670","Robert F Kennedy Community High School ",61,449,471,462,"ROBERT F. KENNEDY COMMUNITY HIGH SCHOOL",20102011,"   ",48.4,739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,235,209,142,153,48,6.5,111,15,47,6,208,28.1,84,11.4,250,33.8,196,26.5,395,53.5,344,46.5
"330","25Q792","North Queens Community High School ",22,434,422,422,"NORTH QUEENS COMMUNITY HIGH SCHOOL",20102011,"   ",71,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,71,9,43,2,1,21,10.5,1,1,17,8.5,86,43,78,39,18,9,107,53.5,93,46.5
"331","26Q415","BENJAMIN CARDOZO HIGH SCHOOL ",697,486,551,492,"BENJAMIN N. CARDOZO HIGH SCHOOL",20102011,"   ",35.5,4063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1106,1057,1101,799,266,6.5,440,10.8,85,177,1862,45.8,750,18.5,736,18.1,698,17.2,1943,47.8,2120,52.2
"332","26Q430","FRANCIS LEWIS HIGH SCHOOL ",808,457,530,454,"FRANCIS LEWIS HIGH SCHOOL",20102011,"   ",57.4,4211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,955,1096,1092,1068,541,12.8,453,10.8,140,197,2171,51.6,351,8.3,1013,24.1,666,15.8,2061,48.9,2150,51.1
"333","26Q435","MARTIN VAN BUREN HIGH SCHOOL ",343,402,411,398,"MARTIN VAN BUREN HIGH SCHOOL",20102011,"   ",48.3,2542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,827,705,487,523,202,7.9,288,11.3,29,157,577,22.7,1506,59.2,380,14.9,61,2.4,1372,54,1170,46
"334","26Q495","BAYSIDE HIGH SCHOOL ",732,472,531,467,"BAYSIDE HIGH SCHOOL",20102011,"   ",61.5,3628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1006,1050,440,1132,255,7,335,9.2,177,96,1745,48.1,461,12.7,736,20.3,677,18.7,1740,48,1888,52
"335","26Q566","Queens High School-Teaching Liberal Arts Sciences ",144,438,455,433,"QUEENS HIGH SCHOOL OF TEACHING",20102011,"   ",50.9,1230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,375,330,255,270,28,2.3,182,14.8,84,7,292,23.7,579,47.1,193,15.7,158,12.8,555,45.1,675,54.9
"336","27Q260","FREDERICK DOUGLASS ACADEMY VI ",65,393,390,387,"FREDERICK DOUGLASS ACADEMY VI HIGH SCHOOL",20102011,"   ",81.3,410,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123,104,105,78,14,3.4,39,9.5,16,17,16,3.9,302,73.7,86,21,3,0.7,208,50.7,202,49.3
"337","27Q262","CHANNEL VIEW SCHOOL FOR RESEARCH ",63,455,423,420,"CHANNEL VIEW SCHOOL FOR RESEARCH",20102011,"   ",78.6,617,NA,NA,NA,NA,NA,NA,NA,72,76,77,104,99,92,97,8,1.3,66,10.7,28,5,38,6.2,335,54.3,177,28.7,61,9.9,307,49.8,310,50.2
"338","27Q400","AUGUST MARTIN HIGH SCHOOL ",102,377,372,362,"AUGUST MARTIN HIGH SCHOOL",20102011,"   ",78.6,1160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,402,365,236,157,49,4.2,196,16.9,41,87,70,6,912,78.6,146,12.6,24,2.1,658,56.7,502,43.3
"339","27Q410","BEACH CHANNEL HIGH SCHOOL ",114,393,390,380,"BEACH CHANNEL HIGH SCHOOL",20102011,"   ",75.4,1053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,230,363,266,194,101,9.6,201,19.1,67,77,32,3,520,49.4,432,41,64,6.1,604,57.4,449,42.6
"340","27Q465","FAR ROCKAWAY HIGH SCHOOL ",31,350,369,360,"FAR ROCKAWAY HIGH SCHOOL",20102011,"   ",93.1,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,10,52,12,17.1,18,25.7,1,10,3,4.3,51,72.9,16,22.9,0,0,31,44.3,39,55.7
"341","27Q475","RICHMOND HILL HIGH SCHOOL ",397,380,401,380,"RICHMOND HILL HIGH SCHOOL",20102011,"   ",65.2,2910,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,876,986,617,431,496,17,382,13.1,87,141,992,34.1,465,16,1372,47.1,70,2.4,1488,51.1,1422,48.9
"342","27Q480","JOHN ADAMS HIGH SCHOOL ",302,399,424,404,"JOHN ADAMS HIGH SCHOOL",20102011,"   ",82.6,3296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1049,860,867,520,494,15,407,12.3,105,158,930,28.2,966,29.3,1207,36.6,146,4.4,1795,54.5,1501,45.5
"343","27Q650","HS for Construction Trades, Engineering and Arch ",87,421,464,424,"THE HIGH SCHOOL FOR CONSTRUCTION TRADES",20102011,"   ",75.7,896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,238,238,221,199,2,0.2,38,4.2,2,NA,270,30.1,88,9.8,375,41.9,156,17.4,571,63.7,325,36.3
"344","28Q338","SATELLITE ACADEMY ",22,346,351,338,"SATELLITE ACADEMY HS @ JAMAICA LEARNING CENTER",20102011,"   ",81.4,267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89,74,73,31,5,1.9,16,6,NA,1,1,0.4,161,60.3,55,20.6,8,3,124,46.4,143,53.6
"345","28Q440","FOREST HILLS HIGH SCHOOL ",627,468,491,462,"FOREST HILLS HIGH SCHOOL",20102011,"   ",50.7,3897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,869,1123,957,948,335,8.6,415,10.6,139,133,1021,26.2,346,8.9,1136,29.2,1352,34.7,1921,49.3,1976,50.7
"346","28Q470","JAMAICA HIGH SCHOOL ",153,393,400,391,"JAMAICA HIGH SCHOOL",20102011,"   ",59,1178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,298,395,246,239,261,22.2,140,11.9,33,68,349,29.6,573,48.6,244,20.7,10,0.8,669,56.8,509,43.2
